@RELATION code_smells_extended

@ATTRIBUTE loc NUMERIC
@ATTRIBUTE wmc NUMERIC
@ATTRIBUTE cbo NUMERIC
@ATTRIBUTE lcom NUMERIC
@ATTRIBUTE rfc NUMERIC
@ATTRIBUTE noc NUMERIC
@ATTRIBUTE totalmethodsqty NUMERIC
@ATTRIBUTE totalfieldsqty NUMERIC
@ATTRIBUTE is_functional_decomposition {yes,no}
@ATTRIBUTE is_data_class {yes,no}
@ATTRIBUTE is_lazy_class {yes,no}
@ATTRIBUTE is_spaghetti {yes,no}
@ATTRIBUTE is_swiss_army_knife {yes,no}
@ATTRIBUTE is_blob {yes,no}
@ATTRIBUTE has_long_method {yes,no}
@ATTRIBUTE has_long_parameter_list {yes,no}

@DATA
12,0,4,0,0,0,0,10,no,yes,no,no,no,no,no,no
6,2,8,1,2,0,2,0,no,no,yes,no,no,no,no,no
21,1,0,0,0,0,1,17,no,yes,no,no,no,no,no,no
5,1,1,0,0,0,1,1,no,no,yes,no,no,no,no,no
92,9,4,1,14,0,3,24,no,no,no,no,no,no,no,no
11,3,1,0,3,0,2,1,no,no,yes,no,no,no,no,no
18,4,3,6,5,0,4,0,no,no,no,no,no,no,no,no
8,2,2,1,0,0,2,0,no,no,yes,no,no,no,no,no
10,2,3,1,2,0,2,0,no,no,yes,no,no,no,no,no
9,1,1,0,0,0,1,5,no,no,no,no,no,no,no,no
4,1,0,0,0,0,1,0,no,no,yes,no,no,no,no,no
13,1,7,0,8,0,1,1,no,no,yes,no,no,no,no,no
7,1,1,0,0,0,1,3,no,no,no,no,no,no,no,no
87,15,20,7,36,0,7,6,no,no,no,no,no,no,no,no
39,10,9,3,19,0,3,0,no,no,no,no,no,no,no,no
35,3,8,0,4,0,2,2,no,no,yes,no,no,no,no,no
15,2,2,1,4,0,2,0,no,no,yes,no,no,no,no,no
9,2,8,0,2,0,2,1,no,no,yes,no,no,no,no,no
23,4,25,0,13,0,1,3,no,no,no,no,no,no,no,yes
7,1,3,0,0,0,1,3,no,no,no,no,no,no,no,no
4,2,2,1,0,0,2,0,no,no,yes,no,no,no,no,no
5,3,4,3,0,0,3,0,no,no,no,no,no,no,no,no
19,2,19,0,10,0,2,6,no,no,no,no,no,no,no,no
82,13,20,0,31,0,4,6,no,no,no,no,no,no,no,no
193,34,28,1,40,0,7,7,no,no,no,no,no,no,no,yes
15,3,14,1,7,0,3,4,no,no,no,no,no,no,no,no
253,58,47,64,100,0,12,20,no,no,no,no,no,no,yes,no
9,1,2,0,0,0,1,5,no,no,no,no,no,no,no,no
5,1,1,0,0,0,1,1,no,no,yes,no,no,no,no,no
9,2,8,0,1,0,2,1,no,no,yes,no,no,no,no,no
3,1,4,0,0,0,1,0,no,no,yes,no,no,no,no,no
9,2,7,0,2,0,2,1,no,no,yes,no,no,no,no,no
104,19,45,77,64,0,14,14,no,no,no,no,no,no,no,no
5,1,3,0,2,0,1,0,no,no,yes,no,no,no,no,no
6,1,1,0,0,0,1,2,no,no,yes,no,no,no,no,no
67,4,10,6,15,0,4,1,no,no,no,no,no,no,no,no
43,6,18,0,22,0,1,5,no,no,no,no,no,no,no,no
35,1,0,0,0,0,1,31,no,yes,no,no,no,no,no,no
18,1,2,0,2,0,1,0,no,no,yes,no,no,no,no,no
9,2,2,1,0,0,2,1,no,no,yes,no,no,no,no,no
8,1,1,0,0,0,1,4,no,no,no,no,no,no,no,no
47,7,23,6,29,0,4,8,no,no,no,no,no,no,no,no
32,8,6,1,12,0,3,3,no,no,no,no,no,no,no,no
54,4,9,0,5,0,4,2,no,no,no,no,no,no,no,no
9,2,8,0,2,0,2,1,no,no,yes,no,no,no,no,no
203,44,66,0,72,0,16,13,no,no,no,no,no,no,no,yes
45,1,6,0,0,0,1,11,no,yes,no,no,no,no,no,no
6,1,1,0,0,0,1,2,no,no,yes,no,no,no,no,no
7,1,1,0,0,0,1,3,no,no,no,no,no,no,no,no
52,15,1,0,2,0,10,2,no,no,no,no,no,no,no,no
449,75,55,2,117,0,13,20,no,no,no,no,no,no,yes,no
55,11,9,3,23,0,3,1,no,no,no,no,no,no,no,no
17,2,2,1,4,0,2,0,no,no,yes,no,no,no,no,no
13,1,0,0,0,0,1,1,no,no,yes,no,no,no,no,no
5,1,1,0,0,0,1,1,no,no,yes,no,no,no,no,no
13,1,10,0,5,0,1,4,no,no,no,no,no,no,no,no
7,1,1,0,0,0,1,3,no,no,no,no,no,no,no,no
11,1,2,0,0,0,1,7,no,no,no,no,no,no,no,no
10,1,1,0,0,0,1,6,no,no,no,no,no,no,no,no
315,22,35,14,50,0,9,11,no,no,no,no,no,no,no,no
7,1,1,0,0,0,1,3,no,no,no,no,no,no,no,no
15,1,1,0,0,0,1,11,no,yes,no,no,no,no,no,no
15,3,11,1,3,0,2,1,no,no,yes,no,no,no,no,no
21,1,4,0,0,0,1,17,no,yes,no,no,no,no,no,no
24,1,2,0,0,0,1,5,no,no,no,no,no,no,no,no
54,15,10,0,19,0,11,2,no,no,no,no,no,no,no,no
21,1,4,0,0,0,1,10,no,yes,no,no,no,no,no,no
24,1,0,0,0,0,1,0,no,no,yes,no,no,no,no,no
96,1,0,0,0,0,1,92,no,yes,no,no,no,no,no,no
9,1,6,0,4,0,1,4,no,no,no,no,no,no,no,no
21,1,6,0,16,0,1,16,no,yes,no,no,no,no,no,yes
7,1,1,0,0,0,1,3,no,no,no,no,no,no,no,no
